"","pair_race","percent_formation"
"1","African-American and African-American",0.0288753799392097
"2","African-American and Asian-American",0.00471900471900472
"3","African-American and Foreign Student",0.0118881118881119
"4","African-American and Latino/a",0.0104134762633997
"5","African-American and White",0.00707809300965194
"6","Asian-American and Asian-American",0.0118176702307259
"7","Asian-American and Foreign Student",0.0078740157480315
"8","Asian-American and Latino/a",0.00581508044194611
"9","Asian-American and White",0.00878312439006081
"10","Foreign Student and Foreign Student",0.0117647058823529
"11","Foreign Student and Latino/a",0.00807202732070786
"12","Foreign Student and White",0.00579866092778575
"13","Latino/a and Latino/a",0.00808926080892608
"14","Latino/a and White",0.00816858686108081
"15","White and White",0.00936588202311358
